Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C_0402_1005Metric,2,100n,C1525
"J2, J3",PinHeader_1x16_P2.54mm_Vertical_SMD_Pin1Left,2,Conn_01x16_Male,
U1,SOP-32_L20.7-W11.3-P1.27-LS14.1-BL,1,IS61WV1288EEBLL,C443418
